Sentence,Actual,Predicted
Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,neutral,neutral
"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.",dovish,dovish
Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,dovish,hawkish
"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.",neutral,neutral
"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.",neutral,dovish
"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.",dovish,dovish
maintaining low and stable inflation.,neutral,hawkish
"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.",neutral,neutral
"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.",neutral,neutral
"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.",hawkish,hawkish
"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.",dovish,dovish
An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,neutral,dovish
"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.",neutral,neutral
Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.,hawkish,hawkish
"Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.",dovish,dovish
"Broad equity prices rose, adding to their substantial gains since the middle of 2010.",neutral,hawkish
"Retail energy prices were likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.",neutral,hawkish
"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.",neutral,hawkish
We want to see lower unemployment.,dovish,dovish
Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.,neutral,neutral
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",hawkish,neutral
"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.",neutral,neutral
"It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.",neutral,neutral
"Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in reducing the level of unemployment, could be slow for some time.",dovish,dovish
"She showed there some so-called optimal policy rules that come from trying to get the best possible outcomes from our quantitative econometric models, and what you see, if you look at that, is that the best possible outcomes, assuming perfect certainty, assuming perfect foresight—very unrealistic assumptions—still involve inflation staying quite close to 2 percent.",neutral,neutral
"In light of these uncertainties as well as continued evidence of muted inflation pressures, participants generally agreed that a patient approach to determining future adjustments to the target range for the federal funds rate remained appropriate.",neutral,dovish
Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually.,neutral,dovish
Economic DevelopmentsReal economic activity has continued to expand at a solid pace.,hawkish,hawkish
"As a result, national saving increased, providing further impetus to economic growth.",dovish,hawkish
Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,dovish,neutral
"Several participants expressed the view that a decision regarding the long-run composition of the portfolio would not need to be made for some time, and a couple of participants highlighted the importance of making such a decision in the context of the ongoing review of the Federal Reserve's monetary policy strategies, tools, and communications practices.",neutral,neutral
labor productivity remained on a strong upward trend.,dovish,hawkish
Persistently strong demand and increasingly supportive conditions in debt and equity markets suggested the possibility of rising inflation pressures.,hawkish,hawkish
"While labor markets were anticipated to remain tight in the near term, participants expected labor demand and supply to come into better balance over time, helping to ease upward pressure on wages and prices.",hawkish,hawkish
"As we all know, starting in late February or March of last year, widespread economic and social lockdowns and other effects of the pandemic caused the swiftest and deepest contraction in employment and economic activity since the Great Depression.",dovish,dovish
"However, with monetary policy assumed to remain highly accommodative, the staff continued to anticipate that real GDP growth would outpace that of potential over much of this period, leading to a decline in the unemployment rate to historically low levels.",dovish,hawkish
"In addition, to address the sizable demand for dollar funding in foreign jurisdictions, the FOMC authorized the expansion of its existing swap lines with the European Central Bank and Swiss National Bank; by the end of the intermeeting period, the formal quantity limits on these lines had been eliminated.",dovish,dovish
"One participant suggested that the Committee could announce an additional, lower set of thresholds for inflation and unemployment",neutral,dovish
Many indicated that they expected cyclical pressures associated with a tightening labor market to show through to higher inflation over the medium term.,hawkish,hawkish
"Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, given the likelihood that inflation would remain subdued for a while, important weight should be given to potential reactions abroad.",dovish,dovish
"Moreover, a 50 basis point reduction that was associated with the communication of a Committee view that the risks to achieving its objectives for economic activity were balanced might be mistakenly interpreted in the view of some members as a signal that the Committee had come to the end of its policy easing moves--a judgment they were not prepared to make at this time.",dovish,dovish
"Given the difficulty in assigning productivity increases by industry, there is a dispute on how widely productivity implicit in the information revolution has spread across the economy.",dovish,neutral
"The drop in the unemployment rate over the past year, while welcome and significant, could overstate the degree of improvement in labor market conditions, in part because of the decline in the labor force participation rate.",neutral,dovish
"However, other measures of labor utilization--including the labor force participation rate and the numbers of discouraged workers and those working part time for economic reasons--suggested more modest improvement, and other indicators of labor demand, such as rates of hiring and quits, remained low.",neutral,dovish
"* * * As the transcripts of FOMC meetings attest, making monetary policy is an especially humbling activity.",neutral,neutral
"In the near term, the 12-month change in PCE prices was expected to move above 2 percent as the low inflation readings from the spring of last year drop out of the calculation.",neutral,hawkish
And the growth of telegraphy enabled railroads to better coordinate the movement of trains over a wider area.,neutral,neutral
"Persistent inflation shortfalls carry the risk that longer-term inflation expectations become anchored below the stated inflation goal.13 In part because of that concern, some economists have advocated ""makeup"" strategies under which policymakers seek to undo past inflation deviations from target.",dovish,dovish
"With regards to inflation, the median inflation projection of FOMC participants is 2.4 percent this year and declines to 2 percent next year before moving back up to 2.1 percent in 2023.",neutral,hawkish
"The role of the Board vis-à-vis the regional Banks was elevated in the aftermath of the stock market crash of 1929 and in the early years of the Great Depression, but the combination of centralized and regional responsibilities remains an important strength of the Federal Reserve System, as I'll explain shortly when I discuss the formulation of monetary policy.",neutral,neutral
"payroll employment posted solid gains, and, on balance, a range of labor market indicators suggested that underutilization of labor resources diminished somewhat.",hawkish,hawkish
"But even for many other workers, a rapidly evolving work environment in which the skill demands of their jobs are changing can lead to very real anxiety and insecurity about losing their jobs.",neutral,neutral
"From a longer-term perspective we have been guided by a firm commitment to contain any forces that would undermine economic expansion and efficiency by raising inflation, and we have kept our focus firmly on the ultimate goal of achieving price stability.",hawkish,hawkish
"Now, with inflation below 2 percent, I think it’s appropriate that the labor market be that tight.",dovish,dovish
Fiscal austerity is the one tried and true approach to dealing with budget and trade deficits simultaneously.,hawkish,hawkish
"Instead, I would like to address a separate but not unrelated topic, the interaction of bank supervision and regulation with monetary policy, and how supervision and regulation might work to make monetary policy implementation more effective in the current environment, particularly as it relates to a bank's demand for reserves.2 But first, let me start with a brief take on the current economic outlook.",neutral,neutral
Some have been concerned that the Federal Reserve and the Treasury might be working at cross purposes today to the extent that reductions in the Treasury debt supply have lead to declines in longer-term Treasury rates at a time when monetary policy is aiming to slow the pace of economic activity to a more sustainable rate.,hawkish,hawkish
"Another difficulty in assessing the current amount of slack in the economy, and a third uncertainty, concerns the divergent patterns in alternative measures of excess demand.",neutral,neutral
Communications about monetary policy over the intermeeting period generally had little effect on Treasury yields or the expected path of the federal funds rate.,neutral,neutral
market-based measures of inflation compensation remained low.,dovish,dovish
"Committee Policy Action In their discussion of monetary policy for the period ahead, Committee members agreed that the stance of monetary policy should not be changed at this meeting.",neutral,neutral
"Although the required amount of cumulative tightening may have increased, members noted that an accelerated pace of policy tightening did not appear necessary at this time, as a degree of economic slack apparently remained, productivity growth would probably continue to damp increases in unit labor costs and prices, and inflation would most likely continue to be contained.",neutral,dovish
"In addition, any other imbalances are more likely to grow to worrisome proportions during an unsustainable boom and are more likely to unwind in a disruptive manner if confronted by rising inflation, sharply higher interest rates in response to higher inflation, and a subsequent recession.",neutral,hawkish
"A discernable upcreep was apparent in survey measures of short- and, to a limited extent, long-term inflation expectations over recent months.",hawkish,hawkish
"In contrast, the dollar appreciated against the AFE currencies, reflecting continued divergence in monetary policy expectations for the United States and AFEs as well as political uncertainty in Europe.",dovish,hawkish
"In their discussion of the economic situation and the outlook, meeting participants agreed that information received over the intermeeting period indicated that the labor market had continued to strengthen and that economic activity had been rising moderately so far this year.",hawkish,hawkish
The strongest case for a link between monetary policy and changes in inflation dynamics is in the greater stability of inflation.,neutral,hawkish
The Summary of Economic Projections by FOMC participants in December 2020 had the unemployment rate moving down to 4.2 percent at the end of 2022 and inflation moving up to 2 percent only in 2023.,dovish,dovish
"If so, GDP growth this calendar year could be the fastest since 1983.",hawkish,hawkish
"Business Caution As I discussed earlier, regression analysis suggests that the robust growth in profits and the comparatively modest recovery in capital expenditures leaves a good part of the extraordinary cash buildup unexplained.",neutral,neutral
"More than two years after the recession trough, and following several quarters of strong growth, the historically normal pattern would be for the Fed to be well into the process of tightening policy by now.",hawkish,hawkish
"These communications were, as you would expect, biased--they were all in response to decisions to raise interest rates and most often occurred when those increases came shortly before an election.",hawkish,hawkish
"Indeed, how will we measure inflation, and the associated financial market implications, in the twenty-first century when our data--using current techniques--could become increasingly less adequate to trace price trends over time?",neutral,neutral
"Indeed, the website of the Central Bank of Brazil explicitly acknowledges the role of inflation in driving financial innovations that enabled firms and households to economize on cash balances in that country.",neutral,hawkish
Members agreed that they would continue to closely monitor inflation indicators and global economic and financial developments.,neutral,neutral
Many foreign central banks tightened monetary policy to address high inflation.,hawkish,hawkish
"Put another way, the FOMC could have ""preemptively"" tightened monetary policy, based on forecasts, but recognizing the uncertainties about empirical relationships chose not to do so.",neutral,neutral
"Since inflation is unacceptably high, it doesn't make sense to have the nominal federal funds rate below near-term inflation expectations.",hawkish,hawkish
"Inflation continued to run below the Committee's longer-run objective, held down in part by the effects of declines in energy and non-energy import prices.",dovish,dovish
The trimmed mean measure of 12-month PCE price inflation constructed by the Federal Reserve Bank of Dallas remained at or near 2 percent in recent months.,neutral,neutral
"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""",hawkish,dovish
Most major indexes of equity prices moved up sharply on the bullish economic reports.,hawkish,hawkish
"In their consideration of monetary policy at this meeting, participants reaffirmed that the Federal Reserve was committed to using its full range of tools to support the U. S. economy in this challenging time, thereby promoting its maximum-employment and price-stability goals.",dovish,dovish
The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.,neutral,neutral
"The broad index of the foreign exchange value of the dollar rose nearly 3 percent over the intermeeting period amid the rise in U. S. interest rates, market expectations that U. S. tax reform was becoming more likely, and foreign central bank actions and communications.",hawkish,hawkish
"In their consideration of the appropriate stance of monetary policy, participants concurred that the labor market was very tight and that inflation was far above the Committee's 2 percent inflation objective.",hawkish,hawkish
Many of our critics tend to focus only on the inflation aspect of our mandate and ignore the employment leg of our mandate.,dovish,dovish
"But the members generally were concerned that inflation might begin to rise over the intermediate term, especially if labor markets tightened further.",hawkish,hawkish
"Models of the term structure of interest rates better fit the data under the assumption that both inflation expectations and beliefs about the central bank's reaction function are evolving (Kozicki and Tinsley, 2001; Rudebusch and Wu, 2003; Cogley, 2005).",neutral,neutral
"Productivity Growth and Cost Reductions So, what happened?",neutral,neutral
"On the other hand, the fact that productivity growth has remained solid in recent years increases confidence that a larger fraction of those productivity gains reflects longer-term developments and a smaller fraction reflects cyclical factors.",dovish,hawkish
"The behavior of the monetary aggregates will continue to be evaluated in the light of progress toward price level stability, movements in their velocities, and developments in the economy and financial markets.",neutral,neutral
"In addition, the dramatic advances in biotechnology are significantly increasing a broad range of productivity-expanding efforts in areas from agriculture to medicine.",neutral,neutral
"Moreover, if, as some members thought likely, productivity growth slowed as employment picked up, the result could be reductions in slack accompanied by higher unit labor costs and associated pressures on prices.",hawkish,hawkish
"Therefore, monetary policy in Japan might be affected not only by views about how such policies would affect macroeconomic performance, for given fiscal policies,",neutral,neutral
"While a number of members saw some slight further disinflation as the most plausible outcome, no one expected a material change in inflation.",neutral,neutral
"And so when asset prices went back up, probably there’ll be a swing around there, a positive contribution.",neutral,hawkish
Does the rapid growth in cross-border capital flows limit or even eliminate the ability of domestic monetary policy to affect domestic interest rates?,neutral,neutral
"So, we are taking account of international developments, including prospects for growth in our trade partners, in making the forecast we have here.",neutral,neutral
This evaluation assumed continued sluggish growth in final demand during the period immediately ahead.,neutral,dovish
The projection for core PCE price inflation in 2008 was raised slightly in response to elevated readings in recent months.,hawkish,hawkish
The near-term forecast again entailed a marked downshift in headline inflation as energy prices fall back consistent with readings from futures markets.,dovish,dovish
"In contrast, the past few cycles did not see this kind of behavior, and in each case, financial imbalances, rather than goods and services inflation, were notably elevated at the onset of the downturn.",hawkish,hawkish
The shock that the—from the pandemic was unprecedented both in its nature and in its size and in the amount of unemployment that it created and in the shock to economic activity.,dovish,dovish
