true_label,original_sent,text_output
2,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,"Label: NEUTRAL
Explanation: The sentence indicates a neutral stance as it acknowledges the strength of the labor market and moderate economic activity without explicitly leaning towards tightening or easing of monetary policy."
0,"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.","DOVISH
The sentence suggests a need for fiscal policy to support aggregate demand, indicating a more accommodative stance towards monetary policy."
0,Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,"Label: NEUTRAL
Explanation: The sentence does not explicitly indicate a stance towards tightening or easing of monetary policy. It simply describes the factors contributing to rapid growth in labor productivity."
2,"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.","NEUTRAL
The sentence does not indicate a clear bias towards either tightening or easing of monetary policy. It simply discusses the availability of data on real interest rates."
2,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","Label: DOVISH
Explanation: The sentence suggests that some participants believe there are still margins of slack in the labor market, as evidenced by low employment-to-population ratio and labor force participation rate for prime-age workers, as well as the lack of significant wage growth. This indicates a more cautious approach towards tightening monetary policy."
0,"Very low inflation and deflation pose qualitatively similar economic problems, though the magnitude of the associated costs can be expected to increase sharply as deflationary pressures intensify.","DOVISH
The sentence suggests concern about low inflation and deflation, indicating a willingness to potentially ease monetary policy to combat deflationary pressures."
2,maintaining low and stable inflation.,"DOVISH
The sentence suggests a focus on keeping inflation low and stable, which typically aligns with a dovish stance of maintaining or potentially easing monetary policy to support economic growth."
2,"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.","Label: NEUTRAL
Explanation: This sentence does not express a clear stance on monetary policy, therefore it is classified as neutral."
2,"Even so, most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation.","Label: NEUTRAL
Explanation: The sentence does not explicitly indicate a preference for either tightening or easing of monetary policy. It simply states that most members viewed a slowing to a rate closer to most estimates of the growth of the economy's potential as a reasonable expectation, which can be interpreted as a neutral stance."
1,"Several commented that an asymmetric directive did not imply a commitment to tighten monetary policy at some point, whether during the intermeeting period or at a future meeting, but it did imply the need for special vigilance.","Label: NEUTRAL
Explanation: The sentence does not explicitly lean towards either a hawkish or dovish stance on monetary policy. It mentions the need for vigilance without indicating a clear direction towards tightening or easing."
0,"So we want to see that healthy process unfold as we decide what the true state of the economy is, and we think it will evolve in a way that will mean lower inflation.","Label: DOVISH
Explanation: The sentence suggests that the speaker is inclined towards easing monetary policy in order to achieve lower inflation, indicating a dovish stance."
2,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,"DOVISH
The sentence suggests that easing of supply constraints will support economic activity, employment, and reduce inflation, indicating a dovish stance towards monetary policy."
2,"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.","Label: NEUTRAL
Explanation: The sentence does not indicate a clear bias towards tightening or easing of monetary policy. It simply states that the growth of M2 has slowed down following a strong expansion in August and September, with growth since midyear being at a similar pace as in the first half of the year."
1,Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.,"NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy, but rather discusses the implementation of inflation targeting and increased communication and transparency."
0,"Deflation, like inflation, would distort resource allocation and interfere with the economy's ability to reach its full potential.","Label: NEUTRAL
Explanation: The sentence does not explicitly advocate for either tightening or easing of monetary policy. It simply states that deflation, like inflation, can have negative effects on the economy."
2,"Broad equity prices rose, adding to their substantial gains since the middle of 2010.","Label: NEUTRAL
Explanation: The sentence does not explicitly indicate a hawkish or dovish stance on monetary policy. It simply states a fact about broad equity prices rising, which does not provide enough information to classify it as hawkish or dovish."
2,"Retail energy prices were likely to retrace at least a portion of the post-hurricane increase, and consumer confidence should rebound.","DOVISH
The statement suggests that retail energy prices are expected to decrease and consumer confidence is expected to improve, indicating a more accommodative stance towards monetary policy."
2,"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.","Label: DOVISH
Explanation: The sentence suggests a reluctance to tie FOMC actions to market prices, indicating a cautious approach towards potentially accommodating investors' whims, which aligns with a dovish stance of easing monetary policy."
0,We want to see lower unemployment.,"DOVISH
The statement indicates a desire for lower unemployment, which typically aligns with a dovish stance as it suggests a willingness to support economic growth through monetary policy easing."
2,Presumably even normal amortized equity that did not come from higher home prices was extracted in this manner.,"Label: NEUTRAL
Explanation: This sentence does not contain any clear indication of a hawkish or dovish stance on monetary policy. It is simply describing a process without expressing a particular bias towards tightening or easing."
1,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.","Label: NEUTRAL
Explanation: The sentence does not indicate a clear bias towards tightening or easing of monetary policy. It simply states the general goal of the Federal Open Market Committee to seek monetary and financial conditions that will foster price stability and promote sustainable growth in output."
2,"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.","Label: NEUTRAL
Explanation: The sentence does not express a clear bias towards either tightening or easing of monetary policy. It simply mentions various concerns related to imbalances in equity prices, personal saving rate, current account, and household debt burden."
2,"It is true that changes in longer-term interest rates in the United States—but also in other advanced economies—does have some effect on emerging markets, particularly those who are trying to peg their exchange rate, and can lead to some capital inflows or outflows.","Label: NEUTRAL
Explanation: The sentence discusses the potential impact of changes in longer-term interest rates on emerging markets, without explicitly advocating for tightening or easing of monetary policy."
0,"Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in reducing the level of unemployment, could be slow for some time.","DOVISH
The sentence expresses concern about slow output growth and reducing unemployment levels, indicating a dovish stance towards monetary policy."
2,"She showed there some so-called optimal policy rules that come from trying to get the best possible outcomes from our quantitative econometric models, and what you see, if you look at that, is that the best possible outcomes, assuming perfect certainty, assuming perfect foresight—very unrealistic assumptions—still involve inflation staying quite close to 2 percent.","Label: NEUTRAL
Explanation: The sentence does not explicitly advocate for either tightening or easing of monetary policy. It simply discusses optimal policy rules and outcomes related to inflation staying close to 2 percent."
2,"In light of these uncertainties as well as continued evidence of muted inflation pressures, participants generally agreed that a patient approach to determining future adjustments to the target range for the federal funds rate remained appropriate.","Label: DOVISH
Explanation: The sentence suggests a cautious and patient approach to future adjustments to the federal funds rate due to uncertainties and muted inflation pressures, indicating a leaning towards easing monetary policy."
2,Participants generally interpreted the information that became available during the intermeeting period as suggesting that economic growth would most likely remain moderate over coming quarters and then pick up very gradually.,"Label: DOVISH
Explanation: The sentence suggests that economic growth is expected to remain moderate and pick up very gradually, indicating a cautious and potentially accommodative stance towards monetary policy."
1,Economic DevelopmentsReal economic activity has continued to expand at a solid pace.,"Label: NEUTRAL
Explanation: The sentence indicates that real economic activity is expanding at a solid pace, which suggests a positive outlook on the economy. This does not lean towards either tightening or easing of monetary policy, so it is classified as neutral."
0,"As a result, national saving increased, providing further impetus to economic growth.","DOVISH
The sentence indicates that national saving increased, which could lead to increased economic growth, suggesting a more accommodative monetary policy stance."
0,Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,"DOVISH
The sentence indicates a dovish stance as it suggests a patient approach towards achieving the inflation target, implying a willingness to maintain or even ease monetary policy in order to support inflation reaching the target."
2,"Several participants expressed the view that a decision regarding the long-run composition of the portfolio would not need to be made for some time, and a couple of participants highlighted the importance of making such a decision in the context of the ongoing review of the Federal Reserve's monetary policy strategies, tools, and communications practices.","Label: NEUTRAL
Explanation: The sentence does not express a clear stance on whether the monetary policy should be tightened or eased. It simply discusses the timing and importance of making a decision regarding the long-run composition of the portfolio in the context of the ongoing review of the Federal Reserve's monetary policy strategies."
0,labor productivity remained on a strong upward trend.,"DOVISH
The sentence suggests that the economy is performing well, which may indicate a need for easing monetary policy to support continued growth."
1,Persistently strong demand and increasingly supportive conditions in debt and equity markets suggested the possibility of rising inflation pressures.,"HAWKISH
The sentence indicates concerns about rising inflation pressures, which could lead to a tightening of monetary policy to control inflation."
1,"While labor markets were anticipated to remain tight in the near term, participants expected labor demand and supply to come into better balance over time, helping to ease upward pressure on wages and prices.","DOVISH
The sentence suggests that participants expect labor demand and supply to come into better balance over time, which would help ease upward pressure on wages and prices. This indicates a more dovish stance as it implies a potential easing of inflationary pressures."
0,"As we all know, starting in late February or March of last year, widespread economic and social lockdowns and other effects of the pandemic caused the swiftest and deepest contraction in employment and economic activity since the Great Depression.","DOVISH
The sentence describes a significant negative impact on employment and economic activity due to the pandemic, suggesting a need for potential easing of monetary policy to support recovery."
0,"However, with monetary policy assumed to remain highly accommodative, the staff continued to anticipate that real GDP growth would outpace that of potential over much of this period, leading to a decline in the unemployment rate to historically low levels.","Label: HAWKISH
Explanation: The sentence indicates that the monetary policy is assumed to remain highly accommodative, which suggests a potential tightening of the policy in the future to prevent overheating of the economy."
0,"In addition, to address the sizable demand for dollar funding in foreign jurisdictions, the FOMC authorized the expansion of its existing swap lines with the European Central Bank and Swiss National Bank; by the end of the intermeeting period, the formal quantity limits on these lines had been eliminated.","Label: DOVISH
Explanation: The sentence indicates that the FOMC authorized the expansion of its existing swap lines with the European Central Bank and Swiss National Bank to address the demand for dollar funding in foreign jurisdictions, and eliminated quantity limits on these lines. This suggests a dovish stance as it shows a willingness to provide liquidity and support to foreign central banks."
2,"One participant suggested that the Committee could announce an additional, lower set of thresholds for inflation and unemployment","DOVISH
The suggestion of announcing lower thresholds for inflation and unemployment indicates a dovish stance, as it implies a willingness to ease monetary policy further."
1,Many indicated that they expected cyclical pressures associated with a tightening labor market to show through to higher inflation over the medium term.,"HAWKISH
The sentence suggests an expectation of higher inflation due to a tightening labor market, indicating a potential need for tightening of monetary policy."
0,"Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, given the likelihood that inflation would remain subdued for a while, important weight should be given to potential reactions abroad.","DOVISH
The sentence suggests a cautious approach to tightening monetary policy due to subdued inflation and emphasizes the importance of considering potential reactions abroad, indicating a dovish stance."
0,"Moreover, a 50 basis point reduction that was associated with the communication of a Committee view that the risks to achieving its objectives for economic activity were balanced might be mistakenly interpreted in the view of some members as a signal that the Committee had come to the end of its policy easing moves--a judgment they were not prepared to make at this time.","DOVISH
The sentence suggests that some members of the Committee were not ready to signal the end of policy easing moves, indicating a dovish stance towards monetary policy."
0,"Given the difficulty in assigning productivity increases by industry, there is a dispute on how widely productivity implicit in the information revolution has spread across the economy.","NEUTRAL
The sentence does not express a clear stance on monetary policy, but rather discusses a dispute regarding productivity increases in the economy."
2,"The drop in the unemployment rate over the past year, while welcome and significant, could overstate the degree of improvement in labor market conditions, in part because of the decline in the labor force participation rate.","DOVISH
The statement suggests caution in interpreting the drop in the unemployment rate as a sign of strong labor market conditions, indicating a more dovish stance towards monetary policy."
2,"However, other measures of labor utilization--including the labor force participation rate and the numbers of discouraged workers and those working part time for economic reasons--suggested more modest improvement, and other indicators of labor demand, such as rates of hiring and quits, remained low.","DOVISH
The sentence indicates that there are still concerns about labor market conditions, suggesting a need for further monetary policy easing to support employment."
2,"* * * As the transcripts of FOMC meetings attest, making monetary policy is an especially humbling activity.","Label: NEUTRAL
Explanation: This sentence does not express a clear stance on whether the monetary policy should be tightened or eased, therefore it is classified as neutral."
