true_label,original_sent,text_output
2,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .","Label: POSITIVE
Explanation: The sentence provides factual information about the company's net sales and operating profit, without any indication of positive or negative sentiment."
0,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it mentions revenue growth of 1 percent, which is a positive financial indicator."
0,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it highlights an increase in operating profit from the previous period."
0,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .","Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it highlights a significant improvement in the net profit of the Finnish dental care group Oral Hammaslaakarit Oyj from a net loss in the previous year to a net profit in the current year."
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","Label: NEGATIVE
Explanation: The sentence indicates a decrease in net profit from the previous year, which is typically viewed as a negative financial outcome."
2,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .","Label: POSITIVE
Explanation: The sentence provides factual information about the portfolio, including the amount of leasable space, vacancy rate, and notable tenants such as the Swedish government and Ericsson. There is no indication of any negative sentiment."
1,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","Label: NEGATIVE
Explanation: The sentence indicates a negative sentiment as it mentions that shares in Cargotec fell sharply due to a surprise drop in profits, overshadowing the positive news of new orders received."
0,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it reports an increase in net profit for the company from 2007 to 2008."
2,The identity of the buyer is not yet known .,"NEGATIVE
The sentence expresses uncertainty and lack of information, indicating a negative sentiment."
2,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,"Label: NEUTRAL
Explanation: The sentence provides factual information about Cargotec's business areas without expressing any positive or negative sentiment."
2,The deal will have no significant effect on the acquiring company 's equity ratio .,"Label: NEUTRAL
Explanation: The sentence does not express a positive or negative sentiment, but rather states a fact about the impact of the deal on the acquiring company's equity ratio."
