Sentence,Actual,Predicted
"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .",neutral,positive
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,positive,positive
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,positive,positive
"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .",positive,positive
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",negative,negative
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",neutral,neutral
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",negative,negative
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,positive
The identity of the buyer is not yet known .,neutral,neutral
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,neutral,neutral
The deal will have no significant effect on the acquiring company 's equity ratio .,neutral,neutral
"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .",positive,negative
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",neutral,positive
"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",neutral,positive
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,neutral
Operating profit improved by 16.7 % to EUR 7.7 mn .,positive,positive
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,positive
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",neutral,neutral
"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",neutral,neutral
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,neutral
`` Our aim is to understand different traffic patterns based on the use of each building .,neutral,neutral
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",positive,positive
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",negative,negative
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",neutral,neutral
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",neutral,neutral
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,positive
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive,positive
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",neutral,neutral
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,neutral
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,negative
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",neutral,neutral
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",neutral,neutral
Work on the assignment has already started and is due for completion in spring 2011 .,neutral,neutral
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,negative
EBIT margin was up from 1.4 % to 5.1 % .,positive,positive
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",neutral,neutral
The event can also be viewed as a live webcast at www.cargotec.com .,neutral,neutral
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,neutral
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,neutral
"no compensation for its news , opinions or distributions .",neutral,neutral
Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral,neutral
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive,positive
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral,neutral
The measures taken will cause one-time costs during the final part of 2006 .,neutral,neutral
"This could be any of us at any time , '' she said .",neutral,neutral
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,neutral
"The product range includes marinated olives , cold cuts , and pates , for example .",neutral,neutral
"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .",neutral,neutral
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,positive
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,neutral
"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide .",positive,positive
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral,neutral
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,positive
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,positive
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,neutral
Operating profit of the Asian plants grew markedly .,positive,positive
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,positive
"Nordstjernan will make the offer in approximately one month , in September 2007 .",neutral,neutral
"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive,positive
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",neutral,neutral
Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,neutral
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,neutral,neutral
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",neutral,neutral
The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral,neutral
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",neutral,positive
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",neutral,neutral
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral,neutral
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",negative,negative
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive,positive
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral,neutral
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,neutral
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,positive
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,positive
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,neutral
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,positive
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,positive,positive
"With this , the company will exit the contract manufacturing service segment .",neutral,negative
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral,neutral
