true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it mentions an expected swing to a net profit in the first quarter of 2010, compared to a loss in the previous year."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","NEUTRAL
The sentence provides a factual statement without expressing any positive or negative sentiment."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it describes the construction of a new apartment block close to the city center, which suggests growth and development."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"Label: POSITIVE
Explanation: The sentence indicates that the actions will result in annual cost savings, which is generally viewed as a positive outcome in business contexts."
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"POSITIVE
The sentence indicates a positive sentiment as it highlights a specific figure for net sales, which is a strong indicator of financial success."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","Label: NEUTRAL
Explanation: The sentence provides factual information about a change in holding of shares in Tieto Corporation without expressing any positive or negative sentiment."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"Label: NEUTRAL
Explanation: The sentence provides a factual description of what Runway Visual Range is without expressing any positive or negative sentiment."
2,The plant will collect raw material from the Baltic Sea region .,"NEUTRAL
The sentence is neutral as it simply states a fact without expressing any positive or negative sentiment."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","Label: NEGATIVE
Explanation: The sentence indicates a decrease in the stock price of ArcelorMittal, positioning it as one of the top decliners among blue-chip stocks, reflecting a negative sentiment."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","Label: NEUTRAL
Explanation: The sentence simply provides information about the size of the technology park without expressing any positive or negative sentiment."
2,The dividends payable annually shall be deducted from the share subscription price .,"Label: NEUTRAL
Explanation: This sentence is providing a factual statement about the process of deducting dividends from the share subscription price, without expressing any positive or negative sentiment."
2,"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .","POSITIVE
The sentence indicates a positive action of selling shares to key staff members, which can be seen as a gesture of trust and investment in the employees."
0,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .","Label: POSITIVE
Explanation: The sentence indicates a significant increase in pre-tax profit from EUR 164.7 million to EUR 397.4 million, which is a positive financial outcome."
2,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,"Label: POSITIVE
Explanation: The sentence is conveying a positive sentiment as it announces the release of a popular game, Resident Evil Degeneration, on N-Gage later this year, indicating a new and exciting opportunity for gamers."
2,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .","POSITIVE
The sentence highlights positive information about the port facilities' throughput and general cargo volume, indicating growth and efficiency."
0,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,"Label: POSITIVE
Explanation: The sentence indicates a positive sentiment as it highlights an increase in Ruukki's order book by 30% year-on-year and 10% quarter-on-quarter, showing growth and success in the company's business."
1,Sales by Seppala diminished by 6 per cent .,"Label: NEGATIVE
Explanation: The sentence indicates a decrease in sales, which is typically associated with a negative sentiment in business contexts."
2,The estimated annual value of the frame agreement is about EUR 50mn .,"Label: NEUTRAL
Explanation: The sentence simply states a fact about the estimated annual value of the frame agreement without expressing any positive or negative sentiment."
2,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',"NEUTRAL
The sentence is providing a factual statement about the subject-matter of the invention without expressing any positive or negative sentiment."
2,He wore a black beanie-type cap and a black jacket .,"Label: NEUTRAL
Explanation: This sentence simply describes the clothing items worn by the person and does not convey any positive or negative sentiment."
1,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,"Label: NEGATIVE
Explanation: The sentence indicates a negative sentiment as the real estate company posted a net loss of 59.3 million, which is a decrease compared to the net profit of 31 million in the corresponding quarter of 2007."
2,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .","Label: NEUTRAL
Explanation: The sentence provides a list of various companies and their respective index ratings, without expressing any positive or negative sentiment."
