true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","NEUTRAL
This sentence is neutral as it simply lists the countries where the customers come from without expressing any positive or negative sentiment."
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","POSITIVE
The sentence describes a successful real estate fund investment in commercial properties, indicating a positive sentiment."
2,The value of the contracts is about EUR 3.3 mn .,"NEUTRAL
This sentence is neutral as it simply states a fact without expressing any positive or negative sentiment."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","NEUTRAL
The sentence provides factual information about the number of log houses exported to Japan without expressing any positive or negative sentiment."
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","POSITIVE
The sentence expresses a positive sentiment by highlighting the potential value of Tellabs to Nokia Siemens or Nortel due to its leading supply status with Verizon and high-growth products."
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","NEUTRAL
The sentence is providing factual information about the order of four ball mills for treating ore in a platinum mine without expressing any positive or negative sentiment."
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","POSITIVE
The sentence is indicating a positive sentiment as it is highlighting an improvement in the company's financial performance from a net loss in the previous year to a net profit in the second quarter of 2010."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","NEUTRAL
The sentence provides factual information about the company's order book without expressing any positive or negative sentiment."
2,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"NEUTRAL
The sentence is neutral as it simply states a fact about Aspo investigating the sales opportunities of Kaukomarkkinat's electronics business without expressing any positive or negative sentiment."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"NEGATIVE
The sentence discusses a net loss for the company, indicating a negative financial outcome."
0,Exports grew 16.5 percent to 19.1 million liters .,"POSITIVE
The sentence expresses positive sentiment as it highlights growth in exports by 16.5 percent, indicating success and progress in the business."
0,"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .","POSITIVE
The sentence is positive as it conveys the successful achievement of winning orders worth EUR 10 million to deliver linkspans to multiple countries, indicating business growth and success."
2,The new organization consists of two business units : Charging & Messaging and Finance & Administration .,"NEUTRAL
This sentence is neutral as it simply provides information about the structure of the new organization without expressing any positive or negative sentiment."
2,The value of the order is USD 2.3 mn .,"NEUTRAL
The sentence simply states a factual piece of information without expressing any positive or negative sentiment."
