true_label,original_sent,text_output
2,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .","NEUTRAL
The sentence provides factual information about the net sales and operating profit without expressing any positive or negative sentiment."
0,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,"POSITIVE
The sentence indicates a positive sentiment as it highlights an increase in revenue, which is typically seen as a positive outcome for a business."
0,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,"POSITIVE
The sentence expresses a positive sentiment as it indicates an increase in operating profit, which is generally seen as a positive outcome in business."
0,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .","POSITIVE
The sentence describes a positive financial outcome for the Finnish dental care group, Oral Hammaslaakarit Oyj, showing a significant improvement in their net profit from the previous year."
1,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","NEUTRAL
The sentence provides factual information about the financial performance of Marimekko Oyj without expressing any positive or negative sentiment."
2,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .","NEUTRAL
The sentence provides factual information about the composition of the portfolio without expressing any positive or negative sentiment."
1,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","NEGATIVE
The sentence expresses a negative sentiment as it mentions that shares in Cargotec fell sharply due to a surprise drop in profits, overshadowing the positive news of new orders received."
0,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .","POSITIVE
The sentence expresses a positive sentiment as it reports an increase in net profit for the Finnish fishing tackle company Rapala VMC Corp from 2007 to 2008."
2,The identity of the buyer is not yet known .,"NEUTRAL
The sentence does not express any strong positive or negative sentiment, it simply states a fact."
2,Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,"NEUTRAL
The sentence provides factual information about Cargotec's business areas without expressing any positive or negative sentiment."
2,The deal will have no significant effect on the acquiring company 's equity ratio .,"NEUTRAL
The sentence is stating a fact without expressing any positive or negative sentiment."
0,"Operating loss was EUR 179mn , compared to a loss of EUR 188mn in the second quarter of 2009 .","NEGATIVE
The sentence indicates a negative sentiment as it mentions a loss of EUR 179mn, which is a decrease from the previous loss of EUR 188mn."
2,"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .","NEUTRAL
The sentence provides factual information about the order of equipment for production, without expressing any positive or negative sentiment."
2,"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .","POSITIVE
The sentence is positive as it indicates that Exel's board of directors will propose a dividend for the shareholders, which is typically seen as a positive financial outcome for investors."
2,Customers in a wide range of industries use our stainless steel and services worldwide .,"POSITIVE
The sentence expresses a positive sentiment by highlighting the wide range of industries and worldwide usage of the company's stainless steel and services."
0,Operating profit improved by 16.7 % to EUR 7.7 mn .,"POSITIVE
The sentence expresses a positive sentiment as it highlights an improvement in operating profit by 16.7%."
0,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,"POSITIVE
The sentence expresses a positive sentiment as it highlights an increase in net profit for the Finnish department store chain Stockmann Oyj Abp, indicating growth and success in their financial performance."
2,"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .","NEUTRAL
The sentence provides factual information about the sizes of TomTom and Garmin in different regions, without expressing any positive or negative sentiment."
2,"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .","NEUTRAL
The sentence is providing information about a business event taking place, without expressing any positive or negative sentiment."
2,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .","NEUTRAL
This sentence is neutral as it simply reports on recommendations issued by brokers without expressing any positive or negative sentiment."
2,`` Our aim is to understand different traffic patterns based on the use of each building .,"NEUTRAL
The sentence is neutral as it simply states the aim of understanding traffic patterns without expressing any positive or negative sentiment."
